,_,s,m,t,st,ms,mt,mst,T200,T200b200,G,T200G,T200b200G,T200G_,T200b200G_,T200Gs,T200b200Gs,T200Gt,T200b200Gt,T200Gmt,T200b200Gmt,T200Gmst,T200b200Gmst
Linear Regression,0.273805,0.261915,0.272168,0.259853,0.262647,0.265914,0.284073,0.280032,0.289077,0.300786,0.360095,0.357255,0.359556,0.357255,0.359556,0.359588,0.357693,0.35462,0.350615,0.356593,0.355962,0.355066,0.354415
Ridge Regression,0.259892,0.258894,0.293908,0.262853,0.274062,0.270127,0.29376,0.295862,0.29656,0.295788,0.361321,0.356632,0.359473,0.356632,0.359473,0.366454,0.361603,0.357102,0.360777,0.366075,0.357309,0.359689,0.35365
Lasso Regression	,0.126646,0.126646,0.126646,0.126646,0.126646,0.126646,0.126646,0.126646,0.126646,0.126646,0.14993,0.14993,0.14993,0.14993,0.14993,0.14993,0.14993,0.14993,0.14993,0.14993,0.14993,0.14993,0.14993
ElasticNet	,0.118355,0.118355,0.118355,0.118355,0.118355,0.118355,0.118355,0.118355,0.118355,0.118355,0.159075,0.159075,0.159075,0.159075,0.159075,0.159075,0.159075,0.159075,0.159075,0.159075,0.159075,0.159075,0.159075
KNN Regressor	,0.036885,0.037124,0.044451,0.046222,0.042841,0.032655,0.043536,0.039069,0.042856,0.038995,0.098594,0.102372,0.094857,0.102372,0.094857,0.102898,0.095363,0.102238,0.108986,0.107044,0.115449,0.108251,0.116632
Decision Tree Regressor	,0.206491,0.232682,0.222457,0.214157,0.193685,0.220754,0.231493,0.194573,0.187694,0.161794,0.158926,0.164472,0.174447,0.164472,0.174447,0.160201,0.178152,0.180147,0.169858,0.163289,0.179292,0.175303,0.163672
Random Forest Regressor	,0.387661,0.38001,0.369446,0.379197,0.358979,0.364021,0.380616,0.352507,0.340701,0.363446,0.339911,0.338831,0.349611,0.338831,0.349611,0.348195,0.350798,0.345951,0.350992,0.344393,0.354176,0.348742,0.353151
Extra Trees Regressor	,0.310489,0.305477,0.301832,0.304902,0.308329,0.300124,0.309221,0.307904,0.292363,0.302717,0.269012,0.275717,0.267225,0.275717,0.267225,0.28953,0.291347,0.280181,0.281554,0.281394,0.278495,0.283832,0.275257
Gradient Boosting Regressor	,0.372062,0.377414,0.370663,0.377144,0.370192,0.373594,0.370272,0.372943,0.378869,0.384525,0.413167,0.413222,0.408036,0.413222,0.408036,0.413371,0.407615,0.412666,0.402976,0.411244,0.406429,0.410829,0.406325
XGBoost Regressor	,0.389635,0.391271,0.365691,0.381999,0.360477,0.371876,0.365889,0.378099,0.33281,0.329816,0.364592,0.354306,0.367402,0.354306,0.367402,0.357263,0.36192,0.360892,0.358714,0.368325,0.368986,0.374258,0.351019
LGBM Regressor	,0.394053,0.400595,0.393317,0.401252,0.401131,0.394303,0.396676,0.391802,0.393296,0.396447,0.415216,0.421,0.431589,0.421,0.431589,0.420441,0.425188,0.419169,0.424191,0.420947,0.426926,0.411928,0.42094
CatBoost Regressor	,0.404171,0.406852,0.393977,0.398779,0.400809,0.401248,0.390342,0.392019,0.393818,0.41124,0.42601,0.418781,0.436546,0.418781,0.436546,0.440943,0.432159,0.430255,0.439286,0.435834,0.437167,0.427885,0.445901
LGBM Regressor (catagorical)   ,0.406922,0.402215,0.384582,0.40254,0.403422,0.395401,0.399345,0.390298,0.413553,0.396696,0.422636,0.436703,0.427444,0.436703,0.427444,0.419741,0.433364,0.41841,0.420966,0.417965,0.429146,0.430136,0.42785
CatBoost Regressor (catagorical),0.404311,0.411624,0.387458,0.395628,0.396336,0.396109,0.384126,0.389988,0.407842,0.395192,0.429826,0.432402,0.437551,0.432402,0.437551,0.44163,0.441839,0.443546,0.434905,0.443119,0.441144,0.424917,0.43121
